RATING,TITLE,VERIFIED,TEXT,DATE
3.0 out of 5 stars,Depends on the paper...,Verified Purchase,"So I saw these highlighters and I was like God damn, gotta get me some of those (how sad, I treat myself with highlighters for work). I didn't read reviews  I thought they were a good brand and therfore my order was placed and I was going to receive these gorgeous pastel highlighters! Anyway, they turned up fast as I have prime and they are cute. The good thing is that these aren't going to run out on you anytime soon, they are very wet and glide along the paper nicely. The only problem is that they are anti dry out ones so they are always wet and you can leave the lids off, this means when you use them there is a lot of ink coming out, and I mean a lot. This also means that if you are using crappy thin paper that it's just going to go straight through to the other side. I have attached photos to show them on thick paper (nice and neat) and on the paper I use to print on and it's a bit patchy. I have also attached a photo of the back of paper which shows them going though to the other side. Once it dries out it leaves my pages a bit bumpy from where it has expanded with the liquid. Moral of the story, don't impulse buy cute things (I am a female and will never learn this lesson) and make sure you read reviews. Other than that quite a decent set, but for the price, maybe I will settle for Poundland ones next time...",Reviewed in the United Kingdom on 11 September 2018
5.0 out of 5 stars,Motivating Highlighters!,Verified Purchase,"Ahhh! These highlighters made me WANT to study just so I could see the pretty colours! All I can say is: BEWARE because your friends WILL try and nick them from you! Unlike typical fluorescent highlighters, these are not harsh on the eyes and can make all notes - no matter how scruffy - look presentable and that you put time and effort into them.",Reviewed in the United Kingdom on 23 May 2017
5.0 out of 5 stars,Best highlighters on the market,Verified Purchase,"These are the best highlighters on the market!They have a good range of colours, which is great for me as I like to colour code my work and revision notes. They last absolutely ages before running out! Honestly you can't get a better selection of highlighters than these so don't bother looking elsewhere!Please click on the “Yes” button below if this review has been helpful thank you",Reviewed in the United Kingdom on 7 October 2017
4.0 out of 5 stars,The pastels are so much nicer than the original colours!,Verified Purchase,"If you’ve ever used Stabilo highlighters then these are the quality you’d expect but in better colours. Unlike the standard/original pack, these are less harsh on the eyes and make notes look so colourful.My only complaint is that at the time of purchasing these, they were only available as an ‘Add on’ item. I tried searching Amazon/other shops but couldn’t find the pastels for sale on their own. Luckily, I had a few things on my wish list but this would have been so frustrating otherwise.Also, something that’s very minor is that the yellow is more of a bright yellow rather than a pastel; so that could be something for them to work on.Other than that, the highlighters are high quality (as you’d expect) and I’ll definitely be purchasing them again once mine have ran out.",Reviewed in the United Kingdom on 16 August 2018
1.0 out of 5 stars,AVOID - not as described,Verified Purchase,"Avoid!! these were no where near as described.  I received 1 purple, 1 pink, 1 orang and 1 blue . .  They are not pastel! They just came loose in a grey posting bag, not in the packaging that was shown in the picture.writing has rubbed off them from handling.  they feel very very light but i haven't got any other stabilo highlighters to compare to",Reviewed in the United Kingdom on 30 September 2019
5.0 out of 5 stars,Great Dupes for Mildliners,Verified Purchase,"If you've used Stabilo's before the you know what you're getting. These are really good colours and great dupes if you aren't able to get your hands on some of the ever popular Zebra Mildliners and incredibly useful for anyone who finds neons a bit too hard on the eye. They do have some slight ghosting at the end of the line in certain notebooks, as ink is more saturated in that area, but otherwise they work great. I was slightly miffed to see that other high street stores are currently having back to school sales and are offering better prices for the this, the 6 and 8 pack but I'll survive.",Reviewed in the United Kingdom on 5 August 2017
1.0 out of 5 stars,Arrived broken,Verified Purchase,"Product arrived broken with 2x green highlighters, 3x yellow and 1x pink which is not what is displayed on the listing.",Reviewed in the United Kingdom on 5 October 2018
5.0 out of 5 stars,5 stars :),Verified Purchase,"high quality product, everything in perfect condition. Had these highlighters for months and they still work perfectly; not dry at all.",Reviewed in the United Kingdom on 3 December 2016
5.0 out of 5 stars,Just the right amount of bright,Verified Purchase,"I have had a tricky relationship with highlighters over my long history of studying. I like to highlight key words, equations, and important considerations, however typical highlighters are so bright and attention grabbing that I struggle to focus on the rest of the text. It is only now that I'm studying my masters I finally came across the solution to my problem, which is in the form of this pastel set. They are bright enough to highlight important parts of your notes, but not so bright that they drag your eyes away from what you're reading.In terms of quality; it's Stabilo Boss, they're a well established brand, and somewhat of a standard for highlighters, so you're not likely to get sent dry/depleted highlighters. You're more than likely going to lose these before they run out.If you feel a similar way about highlighters as I do then don't hesitate to buy these, they're a good product that is good enough to make me feel the need to come back months after I bought them to write a nice review for them. I don't do that often.",Reviewed in the United Kingdom on 23 October 2019
5.0 out of 5 stars,Really pretty colours,Verified Purchase,"These pastel highlighters are so so pretty - I just want to highlight everything with them! They are much softer than the traditional neon ones and are great for making notes look more pleasing to the eye. They also tend to bleed through the paper a lot less than normal highlighters, so are really useful when highlighting in a book/on thin paper. One note regarding the colours: the blue is more of a turqoise than a baby blue (it's my favourite!) and the yellow is slightly darker than I expected, but it's not a negative. I would really encourage you to buy these so that you too can make your notes and documents beautiful!",Reviewed in the United Kingdom on 19 February 2018
